id,conversation_id,sender_id,content,is_read,created_at,attachment_paths,attachment_names
62e1b232-ec77-411e-8625-074411ccb6fd,6f9387c1-0d10-4c75-afcb-ab80c6ade4f4,2aa4873a-8040-42fb-b2eb-1841554f89bd,Test message from curl,false,Wed Aug 13 2025 17:46:19 GMT+0000 (Coordinated Universal Time),,
2c5135ee-fbe8-4227-956c-c9b3a50d002b,6f9387c1-0d10-4c75-afcb-ab80c6ade4f4,2aa4873a-8040-42fb-b2eb-1841554f89bd,Testing message fix!,false,Wed Aug 13 2025 17:48:03 GMT+0000 (Coordinated Universal Time),,
479fb2f6-7a4c-452c-b5d2-8bbdc0269898,6f9387c1-0d10-4c75-afcb-ab80c6ade4f4,2aa4873a-8040-42fb-b2eb-1841554f89bd,Enter key test message,false,Wed Aug 13 2025 17:53:40 GMT+0000 (Coordinated Universal Time),,
eed47cd3-f668-4779-af6d-c103791b97eb,6f9387c1-0d10-4c75-afcb-ab80c6ade4f4,2aa4873a-8040-42fb-b2eb-1841554f89bd,Simple test after fix,false,Wed Aug 13 2025 17:56:03 GMT+0000 (Coordinated Universal Time),,
msg-001,conv-001,11111111-1111-1111-1111-111111111111,Hi Mike! I saw your proposal for the CRM software. Can you tell me more about the HubSpot setup process?,false,Wed Aug 13 2025 15:38:10 GMT+0000 (Coordinated Universal Time),,
msg-002,conv-001,22222222-2222-2222-2222-222222222222,Hi Sarah! I would be happy to walk you through the HubSpot setup. It typically takes 3-4 days for full implementation including data migration and team training.,false,Wed Aug 13 2025 17:38:10 GMT+0000 (Coordinated Universal Time),,
msg-003,conv-002,33333333-3333-3333-3333-333333333333,Thank you for finding the rice suppliers! The quality samples look excellent. Can we proceed with the first supplier?,false,Wed Aug 13 2025 18:38:10 GMT+0000 (Coordinated Universal Time),,
msg-004,conv-002,d9da0f88-c3e8-488f-bc4e-5c68f6a2ca01,Absolutely! I will arrange the contract and delivery schedule. They offer a 10% discount for orders over 1000kg. Shall I negotiate that for you?,false,Wed Aug 13 2025 19:38:10 GMT+0000 (Coordinated Universal Time),,
msg-005,conv-003,77777777-7777-7777-7777-777777777777,Your social media portfolio is impressive! When can we start the Instagram strategy?,false,Wed Aug 13 2025 19:38:10 GMT+0000 (Coordinated Universal Time),,
msg-006,conv-003,f27f2cf2-5c76-4673-8fd3-50cd34ce2a71,Thank you! I can start immediately. I will send you the content calendar and strategy document by tomorrow morning.,false,Wed Aug 13 2025 20:38:10 GMT+0000 (Coordinated Universal Time),,
