id,request_id,finder_id,approach,price,timeline,notes,status,created_at
87951fff-e356-4803-b3b3-7955ef0db6e4,4ae22984-fcf2-469d-be20-6f685cee46e9,a174fbbf-9c34-4788-8df7-38682459a2a9,"I am a React Native expert with 8+ years of experience. I will build a cross-platform food delivery app with real-time tracking, payment integration, and admin panel.",3800,6 weeks,"Includes source code, documentation, and deployment assistance.",pending,""2025-08-13T16:57:24.294Z""
e4e7fdb4-9716-4f63-be76-ff2a20b5dd8a,259a2886-583c-40b7-9266-e60fdafe66da,1cdc2486-666b-41dd-bac1-eb0034977492,"I will create a modern, mobile-responsive e-commerce website using the latest design trends. I have 5+ years of experience in e-commerce design and will provide you with wireframes, mockups, and the final design files.",1200,3 weeks,I can also provide ongoing support for 30 days after delivery.,accepted,""2025-08-13T16:57:24.294Z""
895ce98b-fe38-4cc8-9da4-e565bd637f37,259a2886-583c-40b7-9266-e60fdafe66da,c88125ca-379a-4109-bfdb-86cb4f646d48,"I specialize in e-commerce website design and have worked with over 50 online stores. My approach includes user research, competitor analysis, and conversion-optimized design.",950,2.5 weeks,Portfolio available upon request. I offer 2 rounds of revisions.,accepted,""2025-08-13T16:57:24.294Z""
19b290d5-df47-458d-bb89-9c243cdd7665,4d43bdfa-150f-4254-88c0-eb4abd83f418,a8c15eec-08b9-4e93-b911-46af8887471b,"I am a professional graphic designer specializing in startup branding. I will create a unique logo, brand guidelines, business cards, and letterhead design.",650,1 week,Unlimited revisions until you are 100% satisfied.,accepted,""2025-08-13T16:57:24.294Z""
0d66c391-7a74-4152-9e65-d3b58128c1e3,e7ace354-637a-4fb2-8ddc-bf24ce3d1a76,c88125ca-379a-4109-bfdb-86cb4f646d48,I know you,22,44,dddd,accepted,""2025-08-13T17:22:07.665Z""
prop-001,req-001,f2222222-2222-2222-2222-222222222222,"I recommend HubSpot CRM for your needs. It has excellent contact management, email integration, and reporting. I can help you set it up and train your team.",$150,1 week,I have experience setting up HubSpot for 20+ small businesses. Includes training and customization.,pending,""2025-08-12T21:37:41.973Z""
prop-002,req-001,f4444444-4444-4444-4444-444444444444,"For your requirements, I suggest Pipedrive or Zoho CRM. Both are cost-effective and user-friendly. I can provide demo and implementation support.",$200,10 days,"Includes full setup, data migration, and 2-week support period.",pending,""2025-08-13T03:37:41.973Z""
prop-003,req-002,f1111111-1111-1111-1111-111111111111,I have direct connections with 3 premium rice suppliers in Lagos. All are certified and can handle large volume orders. I can arrange visits and negotiate pricing.,$50,3 days,"I will provide detailed supplier profiles, pricing comparison, and quality certifications.",accepted,""2025-08-13T09:37:41.973Z""
prop-005,req-004,f4444444-4444-4444-4444-444444444444,I can develop your fitness app for both iOS and Android using React Native. I have experience with Apple HealthKit and Google Fit integration.,$4500,6 weeks,"Portfolio includes 3 health apps with 50K+ downloads. Includes UI/UX design, development, and app store submission.",pending,""2025-08-13T18:37:41.973Z""
prop-006,req-006,f6666666-6666-6666-6666-666666666666,I can connect you with top team building facilitators in Chicago area. I work with several corporate event specialists who focus on leadership development.,$1200,2 weeks,I will provide 3 qualified facilitator options with portfolios and client testimonials.,pending,""2025-08-13T17:37:41.973Z""
af758b50-0239-4749-a135-dc196698d0e4,c9547ce8-7950-489f-9f93-25aa3c5be082,c88125ca-379a-4109-bfdb-86cb4f646d48,Jjdjdjd djkdjdd ,150,2 weeks,Thanks,accepted,""2025-08-13T21:48:57.622Z""
d00d240c-ad30-4402-a4a8-f18a75008109,req-001,c88125ca-379a-4109-bfdb-86cb4f646d48,Test approach,100,1 week,Test notes,pending,""2025-08-14T06:16:54.990Z""
prop-004,req-003,c88125ca-379a-4109-bfdb-86cb4f646d48,"I specialize in beauty brand social media marketing. I can create content strategy, manage posting schedule, and run targeted ad campaigns for Instagram and TikTok.",$500,2 weeks,Portfolio includes 15+ beauty brands with 200%+ engagement growth. Includes content calendar and analytics reports.,accepted,""2025-08-11T21:37:41.973Z""
